regulacao,via,rank,diagnostico_nanda,similaridade
Up,Cytoplasmic vesicle,2,Risk for disuse syndrome: susceptibility to deterioration of body systems related to prescribed or unavoidable musculoskeletal inactivity (NANDA-I 00040),0.5845
Up,Cytoplasmic vesicle,3,Risk for thrombus: susceptibility to obstruction of a blood vessel by a thrombus that can cause ischemia necrosis and death related to immobility after stroke (NANDA-I 00291),0.5743
Up,Cytoplasmic vesicle,4,Ineffective peripheral tissue perfusion: decrease in blood circulation to the periphery that may compromise health related to vascular dysfunction and immobility (NANDA-I 00204),0.5638
Up,Cytoplasmic vesicle,5,Impaired comfort: perceived lack of ease relief and transcendence in physical psychospiritual environmental and social dimensions related to neurological symptoms (NANDA-I 00214),0.5553
Up,Secretory granule lumen,1,Risk for thrombus: susceptibility to obstruction of a blood vessel by a thrombus that can cause ischemia necrosis and death related to immobility after stroke (NANDA-I 00291),0.5899
Up,Secretory granule lumen,2,Risk for aspiration: susceptibility to entry of secretions into tracheobronchial passages due to impaired swallowing and reduced consciousness (NANDA-I 00039),0.5564
Up,Secretory granule lumen,3,Ineffective peripheral tissue perfusion: decrease in blood circulation to the periphery that may compromise health related to vascular dysfunction and immobility (NANDA-I 00204),0.5517
Up,Secretory granule lumen,4,Impaired tissue integrity: damage to mucous membrane corneal integumentary or subcutaneous tissues related to ischemic injury and impaired circulation (NANDA-I 00044),0.5358
Up,Secretory granule lumen,5,Decreased intracranial adaptive capacity: intracranial fluid dynamic mechanisms compromised resulting in repeated disproportionate increases in intracranial pressure (NANDA-I 00049),0.5317
Up,Innate immunity,1,Risk for infection: susceptibility to invasion and multiplication of pathogenic organisms related to immunosuppression immobility and invasive procedures (NANDA-I 00004),0.6753
Up,Innate immunity,2,Ineffective protection: decrease in ability to guard self from internal or external threats related to altered immune response and impaired adaptive immunity (NANDA-I 00043),0.6444
Up,Innate immunity,3,Impaired verbal communication: decreased ability to receive process transmit and use a system of symbols related to aphasia after stroke (NANDA-I 00051),0.6044
Up,Innate immunity,4,Decreased intracranial adaptive capacity: intracranial fluid dynamic mechanisms compromised resulting in repeated disproportionate increases in intracranial pressure (NANDA-I 00049),0.5833
Up,Innate immunity,5,Fear: response to perceived threat that is consciously recognized as a danger related to disability dependency and uncertain prognosis (NANDA-I 00148),0.5747
Down,Adaptive immunity,1,Ineffective protection: decrease in ability to guard self from internal or external threats related to altered immune response and impaired adaptive immunity (NANDA-I 00043),0.7004
Down,Adaptive immunity,2,Risk for infection: susceptibility to invasion and multiplication of pathogenic organisms related to immunosuppression immobility and invasive procedures (NANDA-I 00004),0.6912
Down,Adaptive immunity,3,Risk for disuse syndrome: susceptibility to deterioration of body systems related to prescribed or unavoidable musculoskeletal inactivity (NANDA-I 00040),0.6109
Down,Adaptive immunity,4,Impaired verbal communication: decreased ability to receive process transmit and use a system of symbols related to aphasia after stroke (NANDA-I 00051),0.6015
Down,Adaptive immunity,5,Decreased intracranial adaptive capacity: intracranial fluid dynamic mechanisms compromised resulting in repeated disproportionate increases in intracranial pressure (NANDA-I 00049),0.596
Down,Lymphocyte differentiation,1,Ineffective peripheral tissue perfusion: decrease in blood circulation to the periphery that may compromise health related to vascular dysfunction and immobility (NANDA-I 00204),0.551
Down,Lymphocyte differentiation,2,Decreased intracranial adaptive capacity: intracranial fluid dynamic mechanisms compromised resulting in repeated disproportionate increases in intracranial pressure (NANDA-I 00049),0.5498
Down,Lymphocyte differentiation,3,Impaired urinary elimination: dysfunction of urinary elimination related to neurogenic bladder dysfunction after stroke (NANDA-I 00016),0.5478
Down,Lymphocyte differentiation,4,Impaired tissue integrity: damage to mucous membrane corneal integumentary or subcutaneous tissues related to ischemic injury and impaired circulation (NANDA-I 00044),0.5478
Down,Lymphocyte differentiation,5,Constipation: decrease in normal bowel movement frequency and consistency related to immobility and neurological dysfunction (NANDA-I 00011),0.5461
Down,Lymphocyte activation,1,Decreased intracranial adaptive capacity: intracranial fluid dynamic mechanisms compromised resulting in repeated disproportionate increases in intracranial pressure (NANDA-I 00049),0.5313
Down,Lymphocyte activation,2,Hyperthermia: core body temperature above normal diurnal range related to systemic inflammatory response and post-stroke infection (NANDA-I 00007),0.5281
Down,Lymphocyte activation,3,Impaired urinary elimination: dysfunction of urinary elimination related to neurogenic bladder dysfunction after stroke (NANDA-I 00016),0.5217
Down,Lymphocyte activation,4,Risk for thrombus: susceptibility to obstruction of a blood vessel by a thrombus that can cause ischemia necrosis and death related to immobility after stroke (NANDA-I 00291),0.5203
Down,Lymphocyte activation,5,Fatigue: overwhelming sustained sense of exhaustion and decreased capacity for physical and mental work related to neurological disease (NANDA-I 00093),0.502
Down,Adaptive immune response,1,Ineffective protection: decrease in ability to guard self from internal or external threats related to altered immune response and impaired adaptive immunity (NANDA-I 00043),0.6519
Down,Adaptive immune response,2,Risk for infection: susceptibility to invasion and multiplication of pathogenic organisms related to immunosuppression immobility and invasive procedures (NANDA-I 00004),0.5958
Down,Adaptive immune response,3,Risk for disuse syndrome: susceptibility to deterioration of body systems related to prescribed or unavoidable musculoskeletal inactivity (NANDA-I 00040),0.5839
Down,Adaptive immune response,4,Hyperthermia: core body temperature above normal diurnal range related to systemic inflammatory response and post-stroke infection (NANDA-I 00007),0.5759
Down,Adaptive immune response,5,Decreased intracranial adaptive capacity: intracranial fluid dynamic mechanisms compromised resulting in repeated disproportionate increases in intracranial pressure (NANDA-I 00049),0.5553
Down,Positive regulation of immune system process,1,Ineffective protection: decrease in ability to guard self from internal or external threats related to altered immune response and impaired adaptive immunity (NANDA-I 00043),0.6793
Down,Positive regulation of immune system process,2,Powerlessness: lived experience of lack of control over a situation including a perception that one's actions do not significantly affect outcome related to stroke-induced dependency (NANDA-I 00125),0.6732
Down,Positive regulation of immune system process,3,Risk for infection: susceptibility to invasion and multiplication of pathogenic organisms related to immunosuppression immobility and invasive procedures (NANDA-I 00004),0.6704
Down,Positive regulation of immune system process,4,Hyperthermia: core body temperature above normal diurnal range related to systemic inflammatory response and post-stroke infection (NANDA-I 00007),0.6683
Down,Positive regulation of immune system process,5,Impaired verbal communication: decreased ability to receive process transmit and use a system of symbols related to aphasia after stroke (NANDA-I 00051),0.6667
Down,Immune response,1,Ineffective protection: decrease in ability to guard self from internal or external threats related to altered immune response and impaired adaptive immunity (NANDA-I 00043),0.5574
Down,Immune response,2,Hyperthermia: core body temperature above normal diurnal range related to systemic inflammatory response and post-stroke infection (NANDA-I 00007),0.5326
Down,Immune response,3,Risk for infection: susceptibility to invasion and multiplication of pathogenic organisms related to immunosuppression immobility and invasive procedures (NANDA-I 00004),0.5258
Down,Immune response,4,Decreased intracranial adaptive capacity: intracranial fluid dynamic mechanisms compromised resulting in repeated disproportionate increases in intracranial pressure (NANDA-I 00049),0.4854
Down,Immune response,5,Risk for pressure injury: susceptibility to localized damage to skin and underlying tissue usually over bony prominence related to immobility and sensory deficit (NANDA-I 00249),0.483
Down,Side of membrane,1,Risk for aspiration: susceptibility to entry of secretions into tracheobronchial passages due to impaired swallowing and reduced consciousness (NANDA-I 00039),0.5276
Down,Side of membrane,2,Impaired urinary elimination: dysfunction of urinary elimination related to neurogenic bladder dysfunction after stroke (NANDA-I 00016),0.5225
Down,Side of membrane,3,Impaired tissue integrity: damage to mucous membrane corneal integumentary or subcutaneous tissues related to ischemic injury and impaired circulation (NANDA-I 00044),0.5155
Down,Side of membrane,4,Disturbed body image: confusion in mental picture of one's physical self related to functional and physical loss after stroke and hemiplegia (NANDA-I 00118),0.5135
Down,Side of membrane,5,Ineffective peripheral tissue perfusion: decrease in blood circulation to the periphery that may compromise health related to vascular dysfunction and immobility (NANDA-I 00204),0.5049
Down,B cell receptor complex,1,Risk for ineffective cerebral tissue perfusion: susceptibility to decrease in cerebral tissue circulation related to cerebral ischemia edema and blood-brain barrier disruption (NANDA-I 00201),0.5126
Down,B cell receptor complex,2,Hyperthermia: core body temperature above normal diurnal range related to systemic inflammatory response and post-stroke infection (NANDA-I 00007),0.4777
Down,B cell receptor complex,3,Impaired verbal communication: decreased ability to receive process transmit and use a system of symbols related to aphasia after stroke (NANDA-I 00051),0.4653
Down,B cell receptor complex,4,Ineffective peripheral tissue perfusion: decrease in blood circulation to the periphery that may compromise health related to vascular dysfunction and immobility (NANDA-I 00204),0.4613
Down,B cell receptor complex,5,Decreased cardiac output: inadequate quantity of blood pumped by heart to meet metabolic demands of body related to cardiac dysfunction (NANDA-I 00029),0.459
Down,External side of plasma membrane,1,Disturbed body image: confusion in mental picture of one's physical self related to functional and physical loss after stroke and hemiplegia (NANDA-I 00118),0.5851
Down,External side of plasma membrane,2,Interrupted family processes: change in family relationships and functioning related to acute illness and hospitalization of family member (NANDA-I 00060),0.5711
Down,External side of plasma membrane,3,Powerlessness: lived experience of lack of control over a situation including a perception that one's actions do not significantly affect outcome related to stroke-induced dependency (NANDA-I 00125),0.5709
Down,External side of plasma membrane,4,Impaired urinary elimination: dysfunction of urinary elimination related to neurogenic bladder dysfunction after stroke (NANDA-I 00016),0.5701
Down,External side of plasma membrane,5,Decreased intracranial adaptive capacity: intracranial fluid dynamic mechanisms compromised resulting in repeated disproportionate increases in intracranial pressure (NANDA-I 00049),0.5694
Down,Immunoreceptor tyrosine-based activation motif,1,Impaired verbal communication: decreased ability to receive process transmit and use a system of symbols related to aphasia after stroke (NANDA-I 00051),0.6928
Down,Immunoreceptor tyrosine-based activation motif,2,Decreased intracranial adaptive capacity: intracranial fluid dynamic mechanisms compromised resulting in repeated disproportionate increases in intracranial pressure (NANDA-I 00049),0.6858
Down,Immunoreceptor tyrosine-based activation motif,3,Risk for infection: susceptibility to invasion and multiplication of pathogenic organisms related to immunosuppression immobility and invasive procedures (NANDA-I 00004),0.681
Down,Immunoreceptor tyrosine-based activation motif,4,Risk for disuse syndrome: susceptibility to deterioration of body systems related to prescribed or unavoidable musculoskeletal inactivity (NANDA-I 00040),0.6778
Down,Immunoreceptor tyrosine-based activation motif,5,Ineffective protection: decrease in ability to guard self from internal or external threats related to altered immune response and impaired adaptive immunity (NANDA-I 00043),0.6672
Down,T cell differentiation,1,Risk for ineffective cerebral tissue perfusion: susceptibility to decrease in cerebral tissue circulation related to cerebral ischemia edema and blood-brain barrier disruption (NANDA-I 00201),0.5606
Down,T cell differentiation,2,Impaired gas exchange: excess or deficit in oxygenation and carbon dioxide elimination related to ventilation-perfusion imbalance (NANDA-I 00030),0.5395
Down,T cell differentiation,3,Hyperthermia: core body temperature above normal diurnal range related to systemic inflammatory response and post-stroke infection (NANDA-I 00007),0.5307
Down,T cell differentiation,4,Disturbed sleep pattern: time-limited disruption of sleep amount and quality related to hospitalization neurological symptoms and pain (NANDA-I 00198),0.5305
Down,T cell differentiation,5,Impaired comfort: perceived lack of ease relief and transcendence in physical psychospiritual environmental and social dimensions related to neurological symptoms (NANDA-I 00214),0.5295
Down,B cell proliferation,1,Impaired gas exchange: excess or deficit in oxygenation and carbon dioxide elimination related to ventilation-perfusion imbalance (NANDA-I 00030),0.5557
Down,B cell proliferation,2,Risk for infection: susceptibility to invasion and multiplication of pathogenic organisms related to immunosuppression immobility and invasive procedures (NANDA-I 00004),0.5519
Down,B cell proliferation,3,Risk for thrombus: susceptibility to obstruction of a blood vessel by a thrombus that can cause ischemia necrosis and death related to immobility after stroke (NANDA-I 00291),0.5395
Down,B cell proliferation,4,Caregiver role strain: difficulty in performing the family caregiver role related to complexity duration and demands of post-stroke care (NANDA-I 00061),0.538
Down,B cell proliferation,5,Ineffective protection: decrease in ability to guard self from internal or external threats related to altered immune response and impaired adaptive immunity (NANDA-I 00043),0.5342
Down,B cell activation,1,Impaired verbal communication: decreased ability to receive process transmit and use a system of symbols related to aphasia after stroke (NANDA-I 00051),0.4936
Down,B cell activation,2,Risk for ineffective cerebral tissue perfusion: susceptibility to decrease in cerebral tissue circulation related to cerebral ischemia edema and blood-brain barrier disruption (NANDA-I 00201),0.4812
Down,B cell activation,3,Hyperthermia: core body temperature above normal diurnal range related to systemic inflammatory response and post-stroke infection (NANDA-I 00007),0.4712
Down,B cell activation,4,Disturbed body image: confusion in mental picture of one's physical self related to functional and physical loss after stroke and hemiplegia (NANDA-I 00118),0.4712
Down,B cell activation,5,Interrupted family processes: change in family relationships and functioning related to acute illness and hospitalization of family member (NANDA-I 00060),0.4643
Down,B cell receptor signaling pathway,1,Risk for ineffective cerebral tissue perfusion: susceptibility to decrease in cerebral tissue circulation related to cerebral ischemia edema and blood-brain barrier disruption (NANDA-I 00201),0.6089
Down,B cell receptor signaling pathway,2,Impaired verbal communication: decreased ability to receive process transmit and use a system of symbols related to aphasia after stroke (NANDA-I 00051),0.5595
Down,B cell receptor signaling pathway,3,Risk for injury: susceptibility to physical damage due to sensory and motor deficit impaired balance and altered consciousness after stroke (NANDA-I 00035),0.5374
Down,B cell receptor signaling pathway,4,Impaired urinary elimination: dysfunction of urinary elimination related to neurogenic bladder dysfunction after stroke (NANDA-I 00016),0.535
Down,B cell receptor signaling pathway,5,Hyperthermia: core body temperature above normal diurnal range related to systemic inflammatory response and post-stroke infection (NANDA-I 00007),0.5326
Down,Immunoglobulin production,1,Risk for infection: susceptibility to invasion and multiplication of pathogenic organisms related to immunosuppression immobility and invasive procedures (NANDA-I 00004),0.6149
Down,Immunoglobulin production,2,Ineffective protection: decrease in ability to guard self from internal or external threats related to altered immune response and impaired adaptive immunity (NANDA-I 00043),0.6043
Down,Immunoglobulin production,3,Impaired gas exchange: excess or deficit in oxygenation and carbon dioxide elimination related to ventilation-perfusion imbalance (NANDA-I 00030),0.5721
Down,Immunoglobulin production,4,Impaired verbal communication: decreased ability to receive process transmit and use a system of symbols related to aphasia after stroke (NANDA-I 00051),0.5591
Down,Immunoglobulin production,5,Decreased intracranial adaptive capacity: intracranial fluid dynamic mechanisms compromised resulting in repeated disproportionate increases in intracranial pressure (NANDA-I 00049),0.557
Down,Antigen receptor-mediated signaling pathway,1,Risk for ineffective cerebral tissue perfusion: susceptibility to decrease in cerebral tissue circulation related to cerebral ischemia edema and blood-brain barrier disruption (NANDA-I 00201),0.6889
Down,Antigen receptor-mediated signaling pathway,2,Impaired verbal communication: decreased ability to receive process transmit and use a system of symbols related to aphasia after stroke (NANDA-I 00051),0.6459
Down,Antigen receptor-mediated signaling pathway,3,Risk for infection: susceptibility to invasion and multiplication of pathogenic organisms related to immunosuppression immobility and invasive procedures (NANDA-I 00004),0.6359
Down,Antigen receptor-mediated signaling pathway,4,Ineffective protection: decrease in ability to guard self from internal or external threats related to altered immune response and impaired adaptive immunity (NANDA-I 00043),0.6341
Down,Antigen receptor-mediated signaling pathway,5,Hyperthermia: core body temperature above normal diurnal range related to systemic inflammatory response and post-stroke infection (NANDA-I 00007),0.6304
Down,Positive regulation of T cell activation,1,Impaired verbal communication: decreased ability to receive process transmit and use a system of symbols related to aphasia after stroke (NANDA-I 00051),0.6148
Down,Positive regulation of T cell activation,2,Risk for ineffective cerebral tissue perfusion: susceptibility to decrease in cerebral tissue circulation related to cerebral ischemia edema and blood-brain barrier disruption (NANDA-I 00201),0.6139
Down,Positive regulation of T cell activation,3,Powerlessness: lived experience of lack of control over a situation including a perception that one's actions do not significantly affect outcome related to stroke-induced dependency (NANDA-I 00125),0.589
Down,Positive regulation of T cell activation,4,Risk for pressure injury: susceptibility to localized damage to skin and underlying tissue usually over bony prominence related to immobility and sensory deficit (NANDA-I 00249),0.5862
Down,Positive regulation of T cell activation,5,Hyperthermia: core body temperature above normal diurnal range related to systemic inflammatory response and post-stroke infection (NANDA-I 00007),0.5832
Down,Signal,1,Decreased intracranial adaptive capacity: intracranial fluid dynamic mechanisms compromised resulting in repeated disproportionate increases in intracranial pressure (NANDA-I 00049),0.4266
Down,Signal,2,Disturbed body image: confusion in mental picture of one's physical self related to functional and physical loss after stroke and hemiplegia (NANDA-I 00118),0.4264
Down,Signal,3,Risk for ineffective cerebral tissue perfusion: susceptibility to decrease in cerebral tissue circulation related to cerebral ischemia edema and blood-brain barrier disruption (NANDA-I 00201),0.4256
Down,Signal,4,Hyperthermia: core body temperature above normal diurnal range related to systemic inflammatory response and post-stroke infection (NANDA-I 00007),0.4203
Down,Signal,5,Impaired verbal communication: decreased ability to receive process transmit and use a system of symbols related to aphasia after stroke (NANDA-I 00051),0.4189
Down,Disulfide bond,1,Risk for disuse syndrome: susceptibility to deterioration of body systems related to prescribed or unavoidable musculoskeletal inactivity (NANDA-I 00040),0.5934
Down,Disulfide bond,2,Decreased cardiac output: inadequate quantity of blood pumped by heart to meet metabolic demands of body related to cardiac dysfunction (NANDA-I 00029),0.5656
Down,Disulfide bond,3,Risk for aspiration: susceptibility to entry of secretions into tracheobronchial passages due to impaired swallowing and reduced consciousness (NANDA-I 00039),0.5627
Down,Disulfide bond,4,Impaired comfort: perceived lack of ease relief and transcendence in physical psychospiritual environmental and social dimensions related to neurological symptoms (NANDA-I 00214),0.5622
Down,Disulfide bond,5,Imbalanced nutrition less than body requirements: inadequate nutritional intake related to dysphagia and impaired swallowing after stroke (NANDA-I 00002),0.5621
Down,B-cell antigen receptor complex-associated protein alpha/beta chain,1,Risk for ineffective cerebral tissue perfusion: susceptibility to decrease in cerebral tissue circulation related to cerebral ischemia edema and blood-brain barrier disruption (NANDA-I 00201),0.6047
Down,B-cell antigen receptor complex-associated protein alpha/beta chain,2,Hyperthermia: core body temperature above normal diurnal range related to systemic inflammatory response and post-stroke infection (NANDA-I 00007),0.5805
Down,B-cell antigen receptor complex-associated protein alpha/beta chain,3,Risk for infection: susceptibility to invasion and multiplication of pathogenic organisms related to immunosuppression immobility and invasive procedures (NANDA-I 00004),0.5617
Down,B-cell antigen receptor complex-associated protein alpha/beta chain,4,Caregiver role strain: difficulty in performing the family caregiver role related to complexity duration and demands of post-stroke care (NANDA-I 00061),0.5509
Down,B-cell antigen receptor complex-associated protein alpha/beta chain,5,Ineffective protection: decrease in ability to guard self from internal or external threats related to altered immune response and impaired adaptive immunity (NANDA-I 00043),0.545
Down,Cell surface receptor signaling pathway,1,Risk for ineffective cerebral tissue perfusion: susceptibility to decrease in cerebral tissue circulation related to cerebral ischemia edema and blood-brain barrier disruption (NANDA-I 00201),0.6259
Down,Cell surface receptor signaling pathway,2,Impaired verbal communication: decreased ability to receive process transmit and use a system of symbols related to aphasia after stroke (NANDA-I 00051),0.5563
Down,Cell surface receptor signaling pathway,3,Risk for injury: susceptibility to physical damage due to sensory and motor deficit impaired balance and altered consciousness after stroke (NANDA-I 00035),0.542
Down,Cell surface receptor signaling pathway,4,Impaired tissue integrity: damage to mucous membrane corneal integumentary or subcutaneous tissues related to ischemic injury and impaired circulation (NANDA-I 00044),0.537
Down,Cell surface receptor signaling pathway,5,Acute confusion: abrupt onset of reversible disturbances of consciousness attention cognition and perception related to neuroinflammation and cerebral ischemia (NANDA-I 00128),0.5344
Down,Immunological synapse formation,1,Risk for infection: susceptibility to invasion and multiplication of pathogenic organisms related to immunosuppression immobility and invasive procedures (NANDA-I 00004),0.6811
Down,Immunological synapse formation,2,Ineffective protection: decrease in ability to guard self from internal or external threats related to altered immune response and impaired adaptive immunity (NANDA-I 00043),0.6464
Down,Immunological synapse formation,3,Decreased intracranial adaptive capacity: intracranial fluid dynamic mechanisms compromised resulting in repeated disproportionate increases in intracranial pressure (NANDA-I 00049),0.6456
Down,Immunological synapse formation,4,Impaired verbal communication: decreased ability to receive process transmit and use a system of symbols related to aphasia after stroke (NANDA-I 00051),0.6342
Down,Immunological synapse formation,5,Impaired comfort: perceived lack of ease relief and transcendence in physical psychospiritual environmental and social dimensions related to neurological symptoms (NANDA-I 00214),0.6277
Down,Regulation of immune response,1,Ineffective protection: decrease in ability to guard self from internal or external threats related to altered immune response and impaired adaptive immunity (NANDA-I 00043),0.6794
Down,Regulation of immune response,2,Powerlessness: lived experience of lack of control over a situation including a perception that one's actions do not significantly affect outcome related to stroke-induced dependency (NANDA-I 00125),0.644
Down,Regulation of immune response,3,Risk for infection: susceptibility to invasion and multiplication of pathogenic organisms related to immunosuppression immobility and invasive procedures (NANDA-I 00004),0.638
Down,Regulation of immune response,4,Hyperthermia: core body temperature above normal diurnal range related to systemic inflammatory response and post-stroke infection (NANDA-I 00007),0.6353
Down,Regulation of immune response,5,Risk for pressure injury: susceptibility to localized damage to skin and underlying tissue usually over bony prominence related to immobility and sensory deficit (NANDA-I 00249),0.6189
Down,CD22 mediated BCR regulation,1,Risk for ineffective cerebral tissue perfusion: susceptibility to decrease in cerebral tissue circulation related to cerebral ischemia edema and blood-brain barrier disruption (NANDA-I 00201),0.6357
Down,CD22 mediated BCR regulation,2,Impaired verbal communication: decreased ability to receive process transmit and use a system of symbols related to aphasia after stroke (NANDA-I 00051),0.615
Down,CD22 mediated BCR regulation,3,Decreased intracranial adaptive capacity: intracranial fluid dynamic mechanisms compromised resulting in repeated disproportionate increases in intracranial pressure (NANDA-I 00049),0.6133
Down,CD22 mediated BCR regulation,4,Risk for thrombus: susceptibility to obstruction of a blood vessel by a thrombus that can cause ischemia necrosis and death related to immobility after stroke (NANDA-I 00291),0.6094
Down,CD22 mediated BCR regulation,5,Caregiver role strain: difficulty in performing the family caregiver role related to complexity duration and demands of post-stroke care (NANDA-I 00061),0.6001
Down,pre-B cell receptor complex,1,Risk for ineffective cerebral tissue perfusion: susceptibility to decrease in cerebral tissue circulation related to cerebral ischemia edema and blood-brain barrier disruption (NANDA-I 00201),0.57
Down,pre-B cell receptor complex,2,Hyperthermia: core body temperature above normal diurnal range related to systemic inflammatory response and post-stroke infection (NANDA-I 00007),0.5453
Down,pre-B cell receptor complex,3,Acute pain: unpleasant sensory and emotional experience associated with actual or potential tissue damage related to neurological injury and post-stroke pain (NANDA-I 00132),0.5112
Down,pre-B cell receptor complex,4,Risk for infection: susceptibility to invasion and multiplication of pathogenic organisms related to immunosuppression immobility and invasive procedures (NANDA-I 00004),0.5085
Down,pre-B cell receptor complex,5,Ineffective peripheral tissue perfusion: decrease in blood circulation to the periphery that may compromise health related to vascular dysfunction and immobility (NANDA-I 00204),0.5067
Down,Unusual infection,1,Risk for infection: susceptibility to invasion and multiplication of pathogenic organisms related to immunosuppression immobility and invasive procedures (NANDA-I 00004),0.5605
Down,Unusual infection,2,Hyperthermia: core body temperature above normal diurnal range related to systemic inflammatory response and post-stroke infection (NANDA-I 00007),0.5524
Down,Unusual infection,3,Risk for thrombus: susceptibility to obstruction of a blood vessel by a thrombus that can cause ischemia necrosis and death related to immobility after stroke (NANDA-I 00291),0.5221
Down,Unusual infection,4,Risk for disuse syndrome: susceptibility to deterioration of body systems related to prescribed or unavoidable musculoskeletal inactivity (NANDA-I 00040),0.5147
Down,Unusual infection,5,Disturbed body image: confusion in mental picture of one's physical self related to functional and physical loss after stroke and hemiplegia (NANDA-I 00118),0.5105
